Team Name;Year;Wins;Losses;OT Losses;Win %;Goals For (GF);Goals Against (GA);+ / -;goals_ratio;victory_percentage
Toronto Maple Leafs;1992;44;29;;0.524;288;241;47;1.1950207468879668;
Vancouver Canucks;1992;46;29;;0.548;346;278;68;1.2446043165467626;
Washington Capitals;1992;43;34;;0.512;325;286;39;1.1363636363636365;
Winnipeg Jets;1992;40;37;;0.476;322;320;2;1.00625;
Mighty Ducks of Anaheim;1993;33;46;;0.393;229;251;-22;0.9123505976095617;
Boston Bruins;1993;42;29;;0.5;289;252;37;1.1468253968253967;
Buffalo Sabres;1993;43;32;;0.512;282;218;64;1.2935779816513762;
Calgary Flames;1993;42;29;;0.5;302;256;46;1.1796875;
Chicago Blackhawks;1993;39;36;;0.464;254;240;14;1.0583333333333333;
Dallas Stars;1993;42;29;;0.5;286;265;21;1.079245283018868;
Detroit Red Wings;1993;46;30;;0.548;356;275;81;1.2945454545454544;
Edmonton Oilers;1993;25;45;;0.298;261;305;-44;0.8557377049180328;
Florida Panthers;1993;33;34;;0.393;233;233;0;1.0;
Hartford Whalers;1993;27;48;;0.321;227;288;-61;0.7881944444444444;
Los Angeles Kings;1993;27;45;;0.321;294;322;-28;0.9130434782608695;
Montreal Canadiens;1993;41;29;;0.488;283;248;35;1.1411290322580645;
New Jersey Devils;1993;47;25;;0.56;306;220;86;1.3909090909090909;
New York Islanders;1993;36;36;;0.429;282;264;18;1.0681818181818181;
New York Rangers;1993;52;24;;0.619;299;231;68;1.2943722943722944;
Ottawa Senators;1993;14;61;;0.167;201;397;-196;0.5062972292191436;
Philadelphia Flyers;1993;35;39;;0.417;294;314;-20;0.9363057324840764;
Pittsburgh Penguins;1993;44;27;;0.524;299;285;14;1.0491228070175438;
Quebec Nordiques;1993;34;42;;0.405;277;292;-15;0.9486301369863014;
San Jose Sharks;1993;33;35;;0.393;252;265;-13;0.9509433962264151;
St. Louis Blues;1993;40;33;;0.476;270;283;-13;0.9540636042402827;
Tampa Bay Lightning;1993;30;43;;0.357;224;251;-27;0.8924302788844621;
Toronto Maple Leafs;1993;43;29;;0.512;280;243;37;1.1522633744855968;
Vancouver Canucks;1993;41;40;;0.488;279;276;3;1.0108695652173914;
Washington Capitals;1993;39;35;;0.464;277;263;14;1.053231939163498;
Winnipeg Jets;1993;24;51;;0.286;245;344;-99;0.7122093023255814;
Mighty Ducks of Anaheim;1994;16;27;;0.333;125;164;-39;0.7621951219512195;
Boston Bruins;1994;27;18;;0.562;150;127;23;1.1811023622047243;
Buffalo Sabres;1994;22;19;;0.458;130;119;11;1.0924369747899159;
Calgary Flames;1994;24;17;;0.5;163;135;28;1.2074074074074075;
Chicago Blackhawks;1994;24;19;;0.5;156;115;41;1.3565217391304347;
Dallas Stars;1994;17;23;;0.354;136;135;1;1.0074074074074073;
Detroit Red Wings;1994;33;11;;0.688;180;117;63;1.5384615384615385;
Edmonton Oilers;1994;17;27;;0.354;136;183;-47;0.7431693989071039;
Florida Panthers;1994;20;22;;0.417;115;127;-12;0.905511811023622;
Hartford Whalers;1994;19;24;;0.396;127;141;-14;0.900709219858156;
Los Angeles Kings;1994;16;23;;0.333;142;174;-32;0.8160919540229885;
Montreal Canadiens;1994;18;23;;0.375;125;148;-23;0.8445945945945946;
New Jersey Devils;1994;22;18;;0.458;136;121;15;1.1239669421487604;
New York Islanders;1994;15;28;;0.312;126;158;-32;0.7974683544303798;
New York Rangers;1994;22;23;;0.458;139;134;5;1.037313432835821;
Ottawa Senators;1994;9;34;;0.188;117;174;-57;0.6724137931034483;
Philadelphia Flyers;1994;28;16;;0.583;150;132;18;1.1363636363636365;
Pittsburgh Penguins;1994;29;16;;0.604;181;158;23;1.1455696202531647;
Quebec Nordiques;1994;30;13;;0.625;185;134;51;1.3805970149253732;
San Jose Sharks;1994;19;25;;0.396;129;161;-32;0.8012422360248447;
St. Louis Blues;1994;28;15;;0.583;178;135;43;1.3185185185185184;
Tampa Bay Lightning;1994;17;28;;0.354;120;144;-24;0.8333333333333334;
Toronto Maple Leafs;1994;21;19;;0.438;135;146;-11;0.9246575342465754;
Vancouver Canucks;1994;18;18;;0.375;153;148;5;1.0337837837837838;
Washington Capitals;1994;22;18;;0.458;136;120;16;1.1333333333333333;
Winnipeg Jets;1994;16;25;;0.333;157;177;-20;0.8870056497175142;
Mighty Ducks of Anaheim;1995;35;39;;0.427;234;247;-13;0.9473684210526315;
Boston Bruins;1995;40;31;;0.488;282;269;13;1.0483271375464684;
Buffalo Sabres;1995;33;42;;0.402;247;262;-15;0.9427480916030534;
Calgary Flames;1995;34;37;;0.415;241;240;1;1.0041666666666667;
Chicago Blackhawks;1995;40;28;;0.488;273;220;53;1.240909090909091;
Colorado Avalanche;1995;47;25;;0.573;326;240;86;1.3583333333333334;
Dallas Stars;1995;26;42;;0.317;227;280;-53;0.8107142857142857;
Detroit Red Wings;1995;62;13;;0.756;325;181;144;1.7955801104972375;
Edmonton Oilers;1995;30;44;;0.366;240;304;-64;0.7894736842105263;
Florida Panthers;1995;41;31;;0.5;254;234;20;1.0854700854700854;
Hartford Whalers;1995;34;39;;0.415;237;259;-22;0.915057915057915;
Los Angeles Kings;1995;24;40;;0.293;256;302;-46;0.847682119205298;
Montreal Canadiens;1995;40;32;;0.488;265;248;17;1.0685483870967742;
New Jersey Devils;1995;37;33;;0.451;215;202;13;1.0643564356435644;
New York Islanders;1995;22;50;;0.268;229;315;-86;0.726984126984127;
New York Rangers;1995;41;27;;0.5;272;237;35;1.1476793248945147;
Ottawa Senators;1995;18;59;;0.22;191;291;-100;0.6563573883161512;
Philadelphia Flyers;1995;45;24;;0.549;282;208;74;1.3557692307692308;
Pittsburgh Penguins;1995;49;29;;0.598;362;284;78;1.2746478873239437;
San Jose Sharks;1995;20;55;;0.244;252;357;-105;0.7058823529411765;
St. Louis Blues;1995;32;34;;0.39;219;248;-29;0.8830645161290323;
Tampa Bay Lightning;1995;38;32;;0.463;238;248;-10;0.9596774193548387;
Toronto Maple Leafs;1995;34;36;;0.415;247;252;-5;0.9801587301587301;
Vancouver Canucks;1995;32;35;;0.39;278;278;0;1.0;
Washington Capitals;1995;39;32;;0.476;234;204;30;1.1470588235294117;
Winnipeg Jets;1995;36;40;;0.439;275;291;-16;0.9450171821305842;
Mighty Ducks of Anaheim;1996;36;33;;0.439;245;233;12;1.0515021459227467;
Boston Bruins;1996;26;47;;0.317;234;300;-66;0.78;
Buffalo Sabres;1996;40;30;;0.488;237;208;29;1.1394230769230769;
Calgary Flames;1996;32;41;;0.39;214;239;-25;0.895397489539749;
Chicago Blackhawks;1996;34;35;;0.415;223;210;13;1.061904761904762;
Colorado Avalanche;1996;49;24;;0.598;277;205;72;1.351219512195122;
Dallas Stars;1996;48;26;;0.585;252;198;54;1.2727272727272727;
Detroit Red Wings;1996;38;26;;0.463;253;197;56;1.284263959390863;
Edmonton Oilers;1996;36;37;;0.439;252;247;5;1.0202429149797572;
Florida Panthers;1996;35;28;;0.427;221;201;20;1.099502487562189;
